timestamp,writer,seq,session_id,elapsed_seconds,oracle_live,oracle_price_usd,oracle_shock_pct,shock_path_id,hfyc_nav,hfyc_supply,hfyc_deposit_minted,hfyc_fee_minted,hfyc_liability_usd,hfyc_idle_usdg,total_collateral_usd,total_senior_usd,total_junior_nav_usd,total_assets_usd,global_cr,eth_drop_to_impairment_pct,utilization,occupancy_rate_apr,earn_pool_apy,earn_pool_window_yield_usd,earn_pool_window_seconds,earn_pool_window_base_usd,yield_occupancy_share,yield_cash_share,total_occupancy_usd,total_cash_yield_usd,pools_registered,pools_paired
2026-09-02T17:17:09.664Z,ui,2,1788369410392-1kqp1f,19,true,2385.81,,,1.00000000,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,inf,100.0000,0.000000,0.020000,0.000000,0.00,18,0.00,0.000000,0.000000,0.00,0.00,1,0
2026-09-02T17:22:17.728Z,ui,10,1788369410392-1kqp1f,327,true,2385.81,,,2.11111111,4296.499502,4295.758707,0.740795,9070.38,9070.38,0.00,0.00,0.00,9069.03,0.999850,0.0000,0.000000,0.020000,0.000000,0.82,152,4535.19,0.000000,1.000000,0.00,0.82,1,0
2026-09-02T17:35:38.741Z,ui,67,1788369410392-1kqp1f,1128,true,2385.81,,,2.11789043,24542.654593,34191.592178,67.147022,51978.65,51978.65,0.00,0.00,0.00,51970.87,0.999850,0.0000,0.000000,0.020000,0.000000,157.09,1120,25989.32,0.000000,1.000000,0.00,157.09,2,0
